nconst,director_name,director_star_power,director_movies,director_avg_budget,director_avg_revenue,director_avg_roi,director_avg_rating,director_success_rate
nm0153078,Larry Charles,4.0,3,17.545212030598464,19.081198425503437,2.0647870917646833,6.6000000000000005,1.0
nm0155093,Peter Chelsom,3.0,4,17.742422195590603,18.454024456898285,1.3036195088179319,5.575,0.75
nm0158984,Sylvain Chomet,0.0,3,16.41820031748273,16.361657535407797,0.7314917638904714,7.433333333333334,0.0
nm0159507,Stephen Chow,4.0,3,16.628921434724298,17.974978563973334,1.5922546292181377,7.133333333333333,1.0
nm0160126,Rich Christiano,0.0,4,13.545997098796054,13.702403168169612,0.7452460170779639,4.875,0.0
nm0160840,Jon M. Chu,3.0,4,17.665658180950928,18.95792511748128,1.5687172283185158,5.575,0.75
nm0161152,Oxide Chun Pang,1.0,4,16.737097647133716,17.035029655887993,0.7931616091209431,5.825,0.25
nm0170719,Nigel Cole,2.0,4,16.475770165160203,17.61318127037775,1.582626918121996,6.875,0.5
nm0174374,Bill Condon,2.6666666666666665,6,17.881684260362537,19.49216014475665,1.471188404149423,6.2,0.6666666666666666
nm0178376,Scott Cooper,1.3333333333333333,3,17.12361755314578,17.80930552581199,1.4157364301289206,6.8999999999999995,0.3333333333333333
nm0178997,Frank Coraci,2.4,5,18.07678100560673,18.73383204344899,1.1402528827075384,6.08,0.6
nm0179221,Anton Corbijn,2.0,4,16.380459992348886,17.11952193072094,1.0332993195749725,6.65,0.5
nm0190859,Alfonso Cuarón,3.0,4,18.184958423089522,19.81766323732164,1.8169339535773417,7.800000000000001,0.75
nm0191147,Michael Cuesta,1.3333333333333333,3,14.525187532278588,14.688366440339216,0.8764051539377353,7.133333333333333,0.3333333333333333
nm0192845,John Curran,0.0,3,16.51013780630191,16.365687570403505,0.6056329501151807,6.333333333333333,0.0
nm0193485,Richard Curtis,2.6666666666666665,3,17.341871111992198,18.64176647807905,1.7494805881535893,7.533333333333334,0.6666666666666666
nm0196860,Olivier Dahan,1.3333333333333333,3,16.752907307508835,17.445627179493627,0.9196037725778808,6.333333333333333,0.3333333333333333
nm0197636,Stephen Daldry,3.0,4,17.05418904934434,18.375236023789544,2.1688566514566614,7.425,0.75
nm0200005,Lee Daniels,2.6666666666666665,3,16.577628043494652,18.138338279276674,1.6064037901368173,6.733333333333333,0.6666666666666666
nm0201509,Eric Darnell,4.0,4,18.64781632450424,20.15516492986444,1.759338474239564,6.75,1.0
nm0213450,Dean DeBlois,4.0,3,18.683045016112164,19.95383024346525,1.5189022628001276,7.766666666666667,1.0
nm0220600,Scott Derrickson,4.0,4,17.312018149733785,18.736792817347407,2.420153205765712,6.3,1.0
nm0222043,Howard Deutch,1.3333333333333333,3,17.41737866236131,17.48618345738024,0.8088865137227677,5.966666666666666,0.3333333333333333
nm0223359,Tom Dey,1.0,4,17.909855136853043,18.39829745937277,1.0116929413181974,5.575,0.25
nm0229694,David Dobkin,1.6,5,17.847979734198784,18.6589775111734,1.3093797048218152,6.5200000000000005,0.4
nm0230032,Pete Docter,4.0,3,18.858935681335133,20.400493060540313,1.7429250713846762,8.166666666666666,1.0
nm0235719,John Erick Dowdle,4.0,4,15.894952224644102,17.569340598695764,2.0156566548219312,6.35,1.0
nm0236226,Michael Dowse,0.0,4,16.213405921671733,15.542988450819403,0.36781371861588474,6.775,0.0
nm0240797,Dennis Dugan,2.5,8,18.044167472365917,18.950517924112205,1.1933084779253522,5.5125,0.625
nm0240995,Christian Duguay,0.0,3,17.27182727039325,16.736616083798125,0.5090249432485922,5.566666666666666,0.0
nm0245888,Jesse Dylan,2.6666666666666665,3,17.435397167376973,18.481210111036134,1.3041960723491388,6.033333333333334,0.6666666666666666
nm0252135,Breck Eisner,1.3333333333333333,3,18.197537205138154,18.488845616298175,1.017389810647778,6.166666666666667,0.3333333333333333
nm0254632,Stephan Elliott,0.0,3,16.351849460540215,16.234776064135083,0.5731075913029314,5.3,0.0
nm0254786,David R. Ellis,2.4,5,17.229953199271186,18.21771365691133,1.2658539594654918,5.4799999999999995,0.6
